model_type,target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
medium,ami_stemi,55,0.0022193529,0.9412978819619332,0.1989689453892695,0.0,0.0,0.0,0.9977806472439674
medium,heart_failure_chronic,700,0.028246308,0.9154537473157188,0.1989117044227953,0.0,0.0,0.0,0.9717536921959486
medium,ventricular_arrhythmias_arrest,174,0.007021225,0.938935263553204,0.1868658164414555,0.6666666666666666,0.0229885057471264,0.0444444444444444,0.9930594786538616
medium,supraventricular_tachyarrhythmias,164,0.0066177063,0.8815406731937171,0.1395593419611024,0.6666666666666666,0.024390243902439,0.0470588235294117,0.9934629973367768
medium,ami_nstemi,304,0.012266968,0.9080226712708728,0.1357479245880989,0.0,0.0,0.0,0.9877330320393836
medium,aortic_peripheral_vascular,408,0.016463563,0.8784898364860017,0.0830650801245969,0.0,0.0,0.0,0.9835364377370672
medium,pe_dvt_venous_thromboembolism,327,0.013195061,0.8399341110208667,0.0742310565868304,0.0,0.0,0.0,0.9868049390686788
medium,unstable_angina_ac_ischemia,106,0.004277298,0.9027085365965556,0.0531720996680327,0.0,0.0,0.0,0.9957227019611008
medium,pericardial_disease_tamponade,108,0.004358002,0.8600479887360815,0.0402182122235146,0.0,0.0,0.0,0.9956419982245178
nogate_bce,hypertension_crisis,5872,0.23694617,0.924087257401689,0.7459184706009631,0.7017482517482517,0.68358310626703,0.6925465838509317,0.8561859414090872
nogate_bce,afib_aflutter,1834,0.07400533,0.9464441820861316,0.694187136075327,0.7782426778242678,0.5070883315158125,0.6140640475404424,0.9528286659672344
nogate_bce,chronic_ischemic_disease,1980,0.079896696,0.908377565675171,0.4437884329065331,0.5816023738872403,0.1979797979797979,0.295403165033911,0.9245420062948916
nogate_bce,heart_failure_acute,993,0.040069405,0.940707149381498,0.4286132194316598,0.6090651558073654,0.2165156092648539,0.3194650817236255,0.9630376886449844
nogate_bce,brady_heart_block_conduction,380,0.01533371,0.9172013510540552,0.2218738083735612,0.76,0.05,0.0938271604938271,0.9851908643370187
nogate_bce,stroke_tia,359,0.01448632,0.8863447476390184,0.211498178511642,0.6666666666666666,0.0334261838440111,0.0636604774535809,0.9857557904930998
nogate_bce,heart_failure_chronic,700,0.028246308,0.9154241164117836,0.1943465848009112,0.0,0.0,0.0,0.9717536921959486
nogate_bce,valvular_endocardial_disease,622,0.025098862,0.9057903765890846,0.1889287917414508,0.0,0.0,0.0,0.9749011379226858
nogate_bce,cardiomyopathy_myocarditis,280,0.011298523,0.9234359877327798,0.1849852543830008,0.8,0.0142857142857142,0.0280701754385964,0.988822532483254
nogate_bce,ventricular_arrhythmias_arrest,174,0.007021225,0.9377097252739042,0.1768580878807585,0.0,0.0,0.0,0.9929787749172788
nogate_bce,ami_stemi,55,0.0022193529,0.9378713735813262,0.1743227023612161,0.0,0.0,0.0,0.9977806472439674
nogate_bce,ami_nstemi,304,0.012266968,0.9091415599829707,0.1508823577195504,0.0,0.0,0.0,0.9877330320393836
nogate_bce,supraventricular_tachyarrhythmias,164,0.0066177063,0.8879679056966051,0.130008969357284,0.5294117647058824,0.0548780487804878,0.0994475138121546,0.9934226454684852
