year,cause,deaths,deaths_lower,deaths_upper
1990,Chronic respiratory diseases,2260220.4649170795,1779264.2053403042,2608232.868844884
1990,Diabetes and kidney diseases,1301815.268604088,1149050.5255833776,1463965.007870048
1990,Diarrheal diseases,3292786.5320632616,2702354.4070051424,4107003.252623499
1990,Digestive diseases,1836557.6957516896,1614668.6638059644,2081469.4030718124
1990,Lower respiratory infections,2972434.6010997817,2638875.799139637,3336380.002369333
1990,Neonatal disorders,3145337.463818603,2952674.068762499,3336431.248074327
1990,Total cancers,5969459.741922336,5683398.3201815495,6296233.38228726
1990,"Tracheal, bronchus, and lung cancer",1095127.2604595972,1028901.52931978,1212833.2603832576
1990,Tuberculosis,1886620.336990931,1441745.0708978,2389552.4931382565
1991,Cardiovascular diseases,13327577.912792156,12320643.32827389,14187976.718871228
1991,Chronic respiratory diseases,2304133.3010456376,1807752.944937684,2672502.598272682
1991,Diabetes and kidney diseases,1335907.4417808158,1178826.3220577657,1510255.0974231327
1991,Diarrheal diseases,3231258.085298183,2653085.905407834,4056780.967434255
1991,Digestive diseases,1859235.677039297,1639247.2328442635,2108350.399915837
1991,Lower respiratory infections,2929793.223139215,2605482.4324529297,3280711.802231288
1991,Neonatal disorders,3102217.744036538,2916598.403335605,3286754.4931631624
1991,Total cancers,6099629.183415744,5810945.346509155,6427565.2039576825
1991,"Tracheal, bronchus, and lung cancer",1118943.6734682263,1052192.1373864084,1232750.9622713318
1991,Tuberculosis,1884217.0897555049,1432598.910314823,2375109.106180326
1992,Cardiovascular diseases,13474028.668118363,12493866.288264427,14330797.202835783
1992,Chronic respiratory diseases,2352326.61324105,1875754.5084891692,2715037.345557491
1992,Diabetes and kidney diseases,1368089.522035356,1210310.6462147974,1545170.7187915023
1992,Diarrheal diseases,3124542.536510997,2537752.6705649784,3934790.333346104
1992,Digestive diseases,1882979.4703739807,1665631.338336552,2130804.156895732
1992,Lower respiratory infections,2904424.8680485464,2583844.449721328,3253717.7270581275
1992,Neonatal disorders,3056646.6047078283,2874914.1222375063,3231486.4687970174
1992,Total cancers,6199481.044966217,5893989.165937336,6504469.389030188
1992,"Tracheal, bronchus, and lung cancer",1140313.1116990375,1072017.035832527,1254605.8675134794
1992,Tuberculosis,1880913.4071003203,1436377.0735241636,2369805.295408404
1993,Cardiovascular diseases,13846500.46301055,12875710.964107553,14709152.529481482
1993,Chronic respiratory diseases,2419028.5149825835,1942421.710572004,2784552.6939902795
1993,Diabetes and kidney diseases,1409420.3052807597,1253848.598867236,1583542.223119
1993,Diarrheal diseases,3018076.4277161364,2423531.633627822,3837864.6258941256
1993,Digestive diseases,1916437.7894453604,1700775.4123753663,2159610.2973853624
1993,Lower respiratory infections,2914686.6339893886,2608050.1417613407,3253936.019347002
1993,Neonatal disorders,3017473.003196596,2840768.1625999752,3189792.8960486567
1993,Total cancers,6330716.2145550735,6026675.323776636,6630006.9674404
1993,"Tracheal, bronchus, and lung cancer",1169606.0782235756,1103561.5946073784,1278422.8506319053
1993,Tuberculosis,1873755.0874215409,1465423.473569543,2325110.0977699817
1994,Cardiovascular diseases,13977323.077220328,12968433.212708924,14837574.19364722
1994,Chronic respiratory diseases,2466537.3467177683,1981729.4332514408,2848996.2734940094
1994,Diabetes and kidney diseases,1443340.1705182337,1292993.8177044976,1621368.6921336
