model_type,target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
baseline_bce_weighted_weighted,supraventricular_tachyarrhythmias,164,0.0066,0.7643,0.0463,0.0096,0.9939,0.019,0.3202
baseline_bce_weighted_weighted,pe_dvt_venous_thromboembolism,327,0.0132,0.7481,0.0313,0.0205,0.9969,0.0402,0.3723
baseline_bce_weighted_weighted,pericardial_disease_tamponade,108,0.0044,0.745,0.0209,0.0079,0.8333,0.0156,0.5412
baseline_bce_weighted_weighted,unstable_angina_ac_ischemia,106,0.0043,0.8547,0.0197,0.0078,0.9811,0.0155,0.4678
baseline_focal_weighted,hypertension_crisis,5872,0.2369,0.8929,0.6689,0.6186,0.6797,0.6477,0.8248
baseline_focal_weighted,afib_aflutter,1834,0.074,0.9231,0.6004,0.712,0.4907,0.581,0.9476
baseline_focal_weighted,chronic_ischemic_disease,1980,0.0799,0.8757,0.3668,0.5618,0.0965,0.1647,0.9218
baseline_focal_weighted,heart_failure_acute,993,0.0401,0.9193,0.3407,0.536,0.0675,0.1199,0.9603
baseline_focal_weighted,brady_heart_block_conduction,380,0.0153,0.8976,0.1894,0.5758,0.05,0.092,0.9849
baseline_focal_weighted,ami_stemi,55,0.0022,0.9078,0.1672,0.5333,0.1455,0.2286,0.9978
baseline_focal_weighted,valvular_endocardial_disease,622,0.0251,0.8758,0.1592,0.0,0.0,0.0,0.9749
baseline_focal_weighted,stroke_tia,359,0.0145,0.8465,0.1486,0.6154,0.0223,0.043,0.9856
baseline_focal_weighted,heart_failure_chronic,700,0.0282,0.8901,0.1467,0.0,0.0,0.0,0.9718
baseline_focal_weighted,cardiomyopathy_myocarditis,280,0.0113,0.8918,0.1348,0.25,0.0107,0.0205,0.9885
baseline_focal_weighted,ventricular_arrhythmias_arrest,174,0.007,0.8933,0.134,0.375,0.0172,0.033,0.9929
baseline_focal_weighted,ami_nstemi,304,0.0123,0.8651,0.1188,1.0,0.0033,0.0066,0.9878
baseline_focal_weighted,supraventricular_tachyarrhythmias,164,0.0066,0.7878,0.0758,0.5,0.0488,0.0889,0.9934
baseline_focal_weighted,aortic_peripheral_vascular,408,0.0165,0.8338,0.0616,0.0,0.0,0.0,0.9835
baseline_focal_weighted,pe_dvt_venous_thromboembolism,327,0.0132,0.7694,0.0397,0.0,0.0,0.0,0.9868
baseline_focal_weighted,unstable_angina_ac_ischemia,106,0.0043,0.818,0.0243,0.0,0.0,0.0,0.9957
baseline_focal_weighted,pericardial_disease_tamponade,108,0.0044,0.7887,0.0222,0.125,0.0093,0.0172,0.9954
nogate_bce_weighted_weighted,hypertension_crisis,5872,0.2369,0.8669,0.5997,0.3854,0.9981,0.5561,0.6225
nogate_bce_weighted_weighted,afib_aflutter,1834,0.074,0.9191,0.5741,0.1369,0.9826,0.2403,0.5403
nogate_bce_weighted_weighted,chronic_ischemic_disease,1980,0.0799,0.8678,0.3495,0.1346,0.996,0.2371,0.488
nogate_bce_weighted_weighted,heart_failure_acute,993,0.0401,0.9147,0.3165,0.0819,0.9809,0.1511,0.5584
nogate_bce_weighted_weighted,ami_stemi,55,0.0022,0.7653,0.192,0.0189,0.5818,0.0366,0.932
nogate_bce_weighted_weighted,heart_failure_chronic,700,0.0282,0.887,0.1602,0.049,0.9971,0.0934,0.4534
nogate_bce_weighted_weighted,valvular_endocardial_disease,622,0.0251,0.8828,0.1567,0.0406,1.0,0.0781,0.4076
nogate_bce_weighted_weighted,brady_heart_block_conduction,380,0.0153,0.8816,0.1314,0.0297,0.9605,0.0577,0.5186
nogate_bce_weighted_weighted,cardiomyopathy_myocarditis,280,0.0113,0.8866,0.1267,0.0231,0.9393,0.0452,0.5514
nogate_bce_weighted_weighted,ventricular_arrhythmias_arrest,174,0.007,0.8512,0.1083,0.015,0.8908,0.0295,0.589
nogate_bce_weighted_weighted,ami_nstemi,304,0.0123,0.8662,0.1056,0.0201,1.0,0.0395,0.4034
nogate_bce_weighted_weighted,stroke_tia,359,0.0145,0.8175,0.0983,0.0243,0.961,0.0474,0.4402
nogate_bce_weighted_weighted,aortic_peripheral_vascular,408,0.0165,0.8213,0.056,0.0266,1.0,0.0517,0.3965
nogate_bce_weighted_weighted,supraventricular_tachyarrhythmias,164,0.0066,0.7968,0.042,0.0101,0.9634,0.02,0.3742
nogate_bce_weighted_weighted,pe_dvt_venous_thromboembolism,327,0.0132,0.7688,0.0375,0.0212,0.9939,0.0415,0.3936
nogate_bce_weighted_weighted,pericardial_disease_tamponade,108,0.0044,0.7559,0.0198,0.0097,0.8148,0.0191,0.6362
nogate_bce_weighted_weighted,unstable_angina_ac_ischemia,106,0.0043,0.8197,0.018,0.0104,0.8396,0.0206,0.6578
nogate_focal_weighted,hypertension_crisis,5872,0.2369,0.9002,0.6779,0.6619,0.6359,0.6487,0.8368
nogate_focal_weighted,afib_aflutter,1834,0.074,0.9239,0.6037,0.7322,0.4831,0.5821,0.9487
nogate_focal_weighted,chronic_ischemic_disease,1980,0.0799,0.8744,0.3691,0.5765,0.099,0.169,0.9222
nogate_focal_weighted,heart_failure_acute,993,0.0401,0.9204,0.3669,0.6706,0.0574,0.1058,0.9611
nogate_focal_weighted,ami_stemi,55,0.0022,0.8746,0.2558,0.5556,0.1818,0.274,0.9979
nogate_focal_weighted,brady_heart_block_conduction,380,0.0153,0.8949,0.2061,0.5789,0.0579,0.1053,0.9849
nogate_focal_weighted,valvular_endocardial_disease,622,0.0251,0.8836,0.1601,0.0,0.0,0.0,0.9749
nogate_focal_weighted,heart_failure_chronic,700,0.0282,0.8949,0.1573,0.0,0.0,0.0,0.9718
nogate_focal_weighted,cardiomyopathy_myocarditis,280,0.0113,0.8918,0.1442,0.5333,0.0286,0.0542,0.9887
nogate_focal_weighted,ventricular_arrhythmias_arrest,174,0.007,0.8883,0.1296,0.0,0.0,0.0,0.9929
nogate_focal_weighted,ami_nstemi,304,0.0123,0.8831,0.1286,0.0,0.0,0.0,0.9877
nogate_focal_weighted,stroke_tia,359,0.0145,0.8349,0.1204,0.3333,0.0028,0.0055,0.9855
nogate_focal_weighted,aortic_peripheral_vascular,408,0.0165,0.8305,0.0598,0.0,0.0,0.0,0.9835
nogate_focal_weighted,supraventricular_tachyarrhythmias,164,0.0066,0.7837,0.0461,0.6,0.0183,0.0355,0.9934
nogate_focal_weighted,pe_dvt_venous_thromboembolism,327,0.0132,0.7575,0.0378,0.0,0.0,0.0,0.9868
nogate_focal_weighted,unstable_angina_ac_ischemia,106,0.0043,0.8593,0.0283,0.0,0.0,0.0,0.9957
nogate_focal_weighted,pericardial_disease_tamponade,108,0.0044,0.8031,0.0183,0.0645,0.037,0.0471,0.9935
mlp_embedding,hypertension_crisis,5895,0.2318,0.9331,0.7816,0.7555,0.6779,0.7146,0.8745
mlp_embedding,afib_aflutter,1846,0.0726,0.9483,0.6807,0.8665,0.3868,0.5348,0.9512
mlp_embedding,chronic_ischemic_disease,1988,0.0782,0.9253,0.4554,0.5844,0.1393,0.225,0.925
mlp_embedding,heart_failure_acute,999,0.0393,0.9288,0.3279,0.0,0.0,0.0,0.9607
mlp_embedding,valvular_endocardial_disease,625,0.0246,0.9276,0.2077,0.0,0.0,0.0,0.9754
mlp_embedding,cardiomyopathy_myocarditis,283,0.0111,0.9294,0.2,0.0,0.0,0.0,0.9889
mlp_embedding,heart_failure_chronic,702,0.0276,0.9247,0.1929,0.0,0.0,0.0,0.9724
mlp_embedding,brady_heart_block_conduction,382,0.015,0.9258,0.1599,0.0,0.0,0.0,0.985
mlp_embedding,stroke_tia,368,0.0145,0.9033,0.1421,0.0,0.0,0.0,0.9855
mlp_embedding,ventricular_arrhythmias_arrest,182,0.0072,0.9287,0.1229,0.0,0.0,0.0,0.9928
mlp_embedding,supraventricular_tachyarrhythmias,164,0.0064,0.8894,0.1061,1.0,0.0183,0.0359,0.9937
mlp_embedding,ami_nstemi,306,0.012,0.9129,0.0939,0.0,0.0,0.0,0.988
mlp_embedding,aortic_peripheral_vascular,411,0.0162,0.8976,0.0866,0.0,0.0,0.0,0.9838
mlp_embedding,pe_dvt_venous_thromboembolism,332,0.0131,0.8651,0.067,0.0,0.0,0.0,0.9869
mlp_embedding,ami_stemi,57,0.0022,0.9122,0.0413,0.0,0.0,0.0,0.9978
mlp_embedding,unstable_angina_ac_ischemia,107,0.0042,0.9037,0.0297,0.0,0.0,0.0,0.9958
mlp_embedding,pericardial_disease_tamponade,108,0.0042,0.8583,0.0242,0.0,0.0,0.0,0.9958
xgboost_baseline,hypertension_crisis,5895,0.2318,0.9368,0.7889,0.7494,0.7086,0.7284,0.8775
xgboost_baseline,afib_aflutter,1846,0.0726,0.9527,0.7032,0.7972,0.4642,0.5868,0.9525
xgboost_baseline,chronic_ischemic_disease,1988,0.0782,0.9326,0.496,0.5866,0.2691,0.369,0.928
xgboost_baseline,heart_failure_acute,999,0.0393,0.9395,0.378,0.5509,0.1461,0.231,0.9618
xgboost_baseline,brady_heart_block_conduction,382,0.015,0.936,0.258,0.6897,0.0524,0.0973,0.9854
xgboost_baseline,heart_failure_chronic,702,0.0276,0.9301,0.2247,0.375,0.0085,0.0167,0.9722
